,text,created_at,sin,cos,predicted
32,look forward lowell massachusetts today. hear big crowd expected--we lot fun!,17,-0.9976687691905393,-0.06824241336467046,1
33,woody johnson owner nyjets @jebbush’s finance chairman. woody would’ve w/me would’ve playoff least!,20,-0.730835964278124,0.6825531432186542,1
35,wow @unionleader circulation nh dropped 75000 around 10—bad management. wonder begged ads.,16,-0.9422609221188204,-0.3348796121709864,0
36,don’t know @samuelljackson best knowledge played golf w/him &amp; think many tv commercials—boring. fan.,17,-0.9976687691905393,-0.06824241336467046,1
40,don’t cheat golf @samuelljackson cheats—with game choice—and stop commercials!,19,-0.8878852184023756,0.4600650377311516,0
41,don’t like @samuelljackson’s golf swing. athletic. i’ve many club championships. play charity!,19,-0.8878852184023756,0.4600650377311516,0
43,@wolfblitzer @cnnsitroom interview today. please join u 5pm et.,21,-0.5195839500354336,0.8544194045464886,0
50,massive crowd vt tonight. venue big enough. official say outside event sound system. arrive early!,16,-0.9422609221188204,-0.3348796121709864,1
51,.@sentedcruz ted--free legal advice pre-empt dems citizen issue. go court &amp; seek declaratory judgment--you win!,16,-0.9422609221188204,-0.3348796121709864,0
52,idea @jebbush whose campaign disaster. try using last name ashamed it!,16,-0.9422609221188204,-0.3348796121709864,0
53,weak &amp; ineffective @jebbush ad show statement debate response. false advertising!,16,-0.9422609221188204,-0.3348796121709864,0
54,hillary friends!,17,-0.9976687691905393,-0.06824241336467046,0
55,"rt @joenbc: explosive trump attack hrc bill monica cosby weiner. trump camp upped ante ""women's rights""",18,-0.979084087682323,0.2034560130526333,0
56,@theview @abc great headed @barbarajwalters total freefall. whoopi goldberg terrible. sad!,21,-0.5195839500354336,0.8544194045464886,1
57,joy behar fired last show lack rating even worse @theview. love barbara!,21,-0.5195839500354336,0.8544194045464886,0
58,i'm leaving burlington vermont. wild!,21,-0.5195839500354336,0.8544194045464886,0
62,good news jeb bush,18,-0.979084087682323,0.2034560130526333,0
100,.@megynkelly recently said can’t wooed trump. average every way hell want woo her!,20,-0.730835964278124,0.6825531432186542,0
110,way cedar fall iowa now. great--i love people iowa!,19,-0.8878852184023756,0.4600650377311516,0
138,rt @janicetaylor912: @donaldjtrumpjr @reryan08 @ivankatrump @erictrump obvious raised great responsible patriotic kid…,20,-0.730835964278124,0.6825531432186542,0
268,situation room @wolfblitzer 5-7pm est cnn,16,-0.9422609221188204,-0.3348796121709864,0
270,rt @geraldorivera: #newyork tromps #jonas. day storm century big city running unlike others northeast. mu…,18,-0.979084087682323,0.2034560130526333,0
271,"rt @anncoulter: rumsfeld: trump ""has touched nerve country...in way politician able do."" - https:/…",18,-0.979084087682323,0.2034560130526333,0
272,obama's deal vs. trump's deals-,18,-0.979084087682323,0.2034560130526333,0
274,morning's maria fox business network tomorrow 7am 8am et hours.,21,-0.5195839500354336,0.8544194045464886,0
292,.@bobvanderplaats begged event asking organizer $100000 himself—a bad guy!,18,-0.979084087682323,0.2034560130526333,0
293,#gopdebate?,18,-0.979084087682323,0.2034560130526333,0
294,think @sentedcruz know @bobvanderplaats dealings? actually doubt it!,18,-0.979084087682323,0.2034560130526333,0
306,rt @drudge_report: limbaugh: showing he's owning entire event...,21,-0.5195839500354336,0.8544194045464886,0
316,“what america needs: case trump” great new book esteemed jeffrey lord @jeffjlpa1 available now.,15,-0.816969893010442,-0.5766803221148672,0
321,20 anticipated hotel opening 2016: trump international hotel washington d.c.,19,-0.8878852184023756,0.4600650377311516,0
322,hear @sentedcruz’s $$ man robert mercer good man angry cruz lied liquidating (ted’s) holdings.?,19,-0.8878852184023756,0.4600650377311516,0
324,donald trump hand bill o’reilly cable tv viewership win- @deadline-https://t.co/ytid4irw4y,22,-0.2697967711570252,0.962917287347799,0
376,rt @erinburnett: sat w/ @erictrump @donaldjtrumpjr iowa. talked god @realdonaldtrump late night tweet,20,-0.730835964278124,0.6825531432186542,0
377,"rt @kevcirilli: cedar rapid --trump's daught ivanka:""i say without equivocation father make america great again.""",20,-0.730835964278124,0.6825531432186542,0
383,rt @ingrahamangle: #cruzcrew prevailed! smart @marcorubio keep speech short &amp; sweet. ditto @realdonaldtrump brie…,18,-0.979084087682323,0.2034560130526333,0
384,".@morning_joe @mikebarnicle @realdonaldtrump: finished 2nd made turn successfully like pro""",19,-0.8878852184023756,0.4600650377311516,0
385,rt @joenbc: remarkable cost-effective post say trump campaign per vote stunning much jeb spent per vote.,19,-0.8878852184023756,0.4600650377311516,0
386,rt @namusca: #votetrump2016 real leader truly care america &amp; values. want bring prosperity back 2 usa,19,-0.8878852184023756,0.4600650377311516,0
387,anybody watched ted cruz's far long rambling overly flamboyant speech last nite would say howard dean moment!,20,-0.730835964278124,0.6825531432186542,0
415,big storm new hampshire. moved event monday. next four days.,16,-0.9422609221188204,-0.3348796121709864,1
417,much look forward tomorrow’s debate new hampshire—so many thing say much stake. incredible evening!,20,-0.730835964278124,0.6825531432186542,1
418,great support new hampshire. many people working hard #makeamericagreatagain!,20,-0.730835964278124,0.6825531432186542,0
496,failing @nydailynews destroyed little morty zuckerman preparing close save face going online. dead!,16,-0.9422609221188204,-0.3348796121709864,0
497,must registered republican february 16th vote trump florida primary.,18,-0.979084087682323,0.2034560130526333,0
500,lightweight @jebbush spending fortune special interest sc. false advertising- desperate sad!,18,-0.979084087682323,0.2034560130526333,0
505,end illegal immigration protect borders! need make america safe &amp; great again! #trump2016https://t.co/wd3llmz01i,0,0.0,1.0,0
599,use iphone &amp; samsung. apple give info authority terrorist i'll using samsung give info.,21,-0.5195839500354336,0.8544194045464886,0
600,hopefully others follow suit. country need &amp; demand security. time get tough &amp; smart!,21,-0.5195839500354336,0.8544194045464886,0
683,doesn’t @mittromney endorse @marcorubio already.should done nh nevada little sway. latenow!,16,-0.9422609221188204,-0.3348796121709864,0
899,rt @greta: prob w/ pundit saying last fall @realdonaldtrump chance show medium touch w/ american,15,-0.816969893010442,-0.5766803221148672,0
973,want president?,16,-0.9422609221188204,-0.3348796121709864,0
974,yesterday amazing—5 victories. lyin’ ted cruzhad zero. thing going well!,17,-0.9976687691905393,-0.06824241336467046,0
975,last 2 week $35m negative ad florida &amp; massive landslide.the establishment save $$!,17,-0.9976687691905393,-0.06824241336467046,0
978,rt @johnstossel: skate b/c @realdonaldtrump fixed rink nyc gov’t spent $13m failed! good trump! https:/…,18,-0.979084087682323,0.2034560130526333,0
981,interviewed o'reilly factor evening 8 pm fox news channel. @oreillyfactor,21,-0.5195839500354336,0.8544194045464886,0
990,see arizona friday saturday.,16,-0.9422609221188204,-0.3348796121709864,0
991,looking like 5 victory tuesday good ohio. two day ohio mine!,16,-0.9422609221188204,-0.3348796121709864,0
992,highly overrated &amp; crazy @megynkelly always complaining trump yet devotes show me. focus others megyn!,16,-0.9422609221188204,-0.3348796121709864,1
993,star reboot liar liar- hillary clinton ted cruz? let know.,18,-0.979084087682323,0.2034560130526333,0
998,senator @lindseygrahamsc made horrible statement @sentedcruz – endorsed him. wonder nobody trust politicians!,19,-0.8878852184023756,0.4600650377311516,0
999,.@ewerickson got fired like dog redstateand one leading opposition me.,19,-0.8878852184023756,0.4600650377311516,0
1042,proven far correct terrorism anybody- it’s even close. hopefully az ut voting today!,15,-0.816969893010442,-0.5766803221148672,0
1043,watch clip earlier year. time &amp; time right terrorism. it’s time get tough!,16,-0.9422609221188204,-0.3348796121709864,0
1057,lyin’ ted cruz steal foreign policy line michael douglas— another dishonest politician.,19,-0.8878852184023756,0.4600650377311516,1
