source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for Android,I will be on @FoxNews live  with members of my family at 11:50 P.M. We will ring in the New Year together! MAKE AMERICA GREAT AGAIN!,01/01/2016 00:44,2108,6735,FALSE,6.83E+17
Twitter for iPhone,HAPPY NEW YEAR &amp; THANK YOU! https://t.co/YO1Yi8QbZy https://t.co/uxUXWJ1Rbv,01/01/2016 03:25,3460,8581,FALSE,6.83E+17
Twitter for iPhone,#HappyNewYearAmerica! https://t.co/EeQb8PDrUe,01/01/2016 05:18,3434,9143,FALSE,6.83E+17
Twitter for iPhone,Happy New Year from #MarALago! Thank you to my great family for all of their support. https://t.co/6UsqSiaaj7,01/01/2016 06:07,1948,8258,FALSE,6.83E+17
Twitter for Android,Well the year has officially begun. I have many stops planned and will be working very hard to win so that we can turn our country around!,01/01/2016 23:00,2642,8495,FALSE,6.83E+17
Twitter for Android,I will be going to Mississippi tomorrow night - hear the crowds are going to be massive! Look forward to it.,01/01/2016 23:24,1688,5481,FALSE,6.83E+17
Twitter for Android,The person that Hillary Clinton least wants to run against is by far me. It will be the largest voter turnout ever - she will be swamped!,01/01/2016 23:40,3759,10339,FALSE,6.83E+17
Twitter for Android,Thank you so much to https://t.co/8OMryrUVET for naming me the 2015 Man of the Year. This is indeed a great honor for me!,01/02/2016 03:26,1910,6334,FALSE,6.83E+17
Twitter for iPhone,#VoteTrump2016 &amp; together we will #MakeAmericaGreatAgain! THANK YOU for your support! https://t.co/bziqUSHnbi,01/02/2016 03:32,3057,7340,FALSE,6.83E+17
Twitter for iPhone,Massive crowds expected in Mississippi tomorrow night. Look forward to it! 2015 IN PHOTOS: https://t.co/29z0XuXVf0 https://t.co/utrl0UnQau,01/02/2016 04:17,2145,6363,FALSE,6.83E+17
Twitter for Android,.@JebBush is a sad case. A total embarrassment to both himself and his family he just announced he will continue to spend on Trump hit ads!,01/02/2016 12:10,2124,5802,FALSE,6.83E+17
Twitter for Android,".@JebBush is a low energy ""stiff"" who should focus his special interest money on the many people ahead of him in the polls. Has no chance!",01/02/2016 12:17,1749,5458,FALSE,6.83E+17
Twitter for Android,Hillary Clinton said that it is O.K. to ban Muslims from Israel by building a WALL but not O.K. to do so in the U.S. We must be vigilant!,01/02/2016 13:23,7832,14673,FALSE,6.83E+17
Twitter for Android,Hillary Clinton doesn't have the strength or stamina to be president. Jeb Bush is a low energy individual but Hillary is not much better!,01/02/2016 20:00,2238,6568,FALSE,6.83E+17
Twitter for Android,I hope Bill Clinton starts talking about women's issues so that voters can see what a hypocrite he is and how Hillary abused those women!,01/02/2016 20:04,3609,8017,FALSE,6.83E+17
Twitter for Android,When I look at all of the money the special interests and lobbyists are giving to candidates beware - the candidates are mere puppets $$$$!,01/02/2016 21:01,3745,9075,FALSE,6.83E+17
Twitter for Android,Remember I am self-funding my campaign the only one in either party. I'm not controlled by lobbyists or special interests-only the U.S.A.!,01/02/2016 21:07,6065,15803,FALSE,6.83E+17
Twitter for iPhone,Heading to Biloxi Mississippi. Massive crowds expected. Thank you for your support! #VoteTrump2016 https://t.co/1VMngEMLzT,01/02/2016 22:42,1609,5756,FALSE,6.83E+17
Twitter for Android,Just arrived in Mississippi for the rally. Word is that the crowd is overflowing and massive. Will be an amazing evening!,01/03/2016 00:24,1763,6955,FALSE,6.83E+17
Twitter for iPhone,RT @EricTrump: So proud to be out on the campaign trail with @realDonaldTrump - thanks for an amazing night #Biloxi #Trump2016 https://t.co…,01/03/2016 04:06,1931,0,TRUE,6.84E+17
Twitter for iPhone,Thank you #Biloxi #Mississippi! Remember this night &amp; spread the word to get out &amp; #VoteTrump2016! https://t.co/hfYdkY5DKq,01/03/2016 04:53,2472,5815,FALSE,6.84E+17
Twitter for Android,Just returned from Mississippi - a great evening.,01/03/2016 05:36,1132,5088,FALSE,6.84E+17
Twitter for Android,Hillary Clinton lied last week when she said ISIS made a D.T. video. The video that ISIS made was about her husband being a degenerate.,01/03/2016 13:59,4631,10291,FALSE,6.84E+17
Twitter for Android,Al-Shabbab not ISIS just made a video on me - they all will as front-runner &amp; if I speak out against them which I must. Hillary lied!,01/03/2016 14:12,2682,6688,FALSE,6.84E+17
Twitter for Android,Hillary said that guns don't keep you safe. If she really believes that she should demand that her heavily armed bodyguards quickly disarm!,01/03/2016 14:27,17960,32185,FALSE,6.84E+17
Twitter for iPhone,Thank you for your support in Biloxi MS! Let's ALL get out &amp; VOTE in 2016 so we can #MakeAmericaGreatAgain! https://t.co/RSZF12Kyhn,01/03/2016 16:45,2307,6401,FALSE,6.84E+17
Twitter for Android,Does anybody remember when Bill Clinton in 2008 worked long and hard for Hillary? She LOST! Now Bill is at it again. Just watch.,01/03/2016 17:55,2560,6775,FALSE,6.84E+17
Twitter for Android,".@chucktodd said today on @meetthepress that ""attacking Bill to get to Hillary has never worked before."" Wrong - attacked him in '08 &amp; won!",01/03/2016 18:13,1343,3861,FALSE,6.84E+17
Twitter for Android,.@RuthMarcus of the @washingtonpost was terrible today on Face The Nation.No focus poor level of concentration-but correct on Hillary lying,01/03/2016 19:03,984,3733,FALSE,6.84E+17
Twitter for Android,Iran with all of the money and all else given to them by Obama has wanted a way to take over Saudi Arabia &amp; their oil. THEY JUST FOUND IT!,01/03/2016 20:00,2525,5338,FALSE,6.84E+17
Twitter for iPhone,The worst thing Hillary could do is have her husband campaign for her. Just watch.,01/03/2016 23:18,3403,9300,FALSE,6.84E+17
Twitter for iPhone,By the way Hillary &amp; the MSM forgot to mention that Hillary is in the Al-Shabaab terror video. https://t.co/gRannsRXJr,01/03/2016 23:19,4166,7030,FALSE,6.84E+17
Twitter Web Client,I look forward to being in Lowell Massachusetts today. I hear a very big crowd is expected--we will have lots of fun!,01/04/2016 17:31,2209,6957,FALSE,6.84E+17
Twitter Web Client,Woody Johnson owner of the NYJets is @JebBush’s finance chairman. If Woody would’ve been w/me he would’ve been in the playoffs at least!,01/04/2016 20:00,4202,8757,FALSE,6.84E+17
